segment,timeline,survival_prob,ci_lower,ci_upper
36_E-G,18.0,0.7387474251654463,0.7346913519843064,0.7427528621217749
36_E-G,19.0,0.7303764736819033,0.7262801547528654,0.734423252624594
36_E-G,20.0,0.7220712626550378,0.7179368327061312,0.726157241802819
36_E-G,21.0,0.714949379848358,0.7107836730493601,0.7190675710993686
36_E-G,22.0,0.7084629881228897,0.7042698969027249,0.7126094166191851
36_E-G,23.0,0.701779375027392,0.6975591424941394,0.7059538246278614
36_E-G,24.0,0.6954244642152779,0.6911794185031522,0.6996245645068987
36_E-G,25.0,0.6900337467677607,0.6857683985844533,0.6942548607384884
36_E-G,26.0,0.6852127799447775,0.6809298464132745,0.689452115906572
36_E-G,27.0,0.6806766884340617,0.6763776949619863,0.6849326838853289
36_E-G,28.0,0.6762063373800234,0.6718919726334718,0.6804782954695281
36_E-G,29.0,0.6731165359162022,0.6687918088114324,0.6773992653957109
36_E-G,30.0,0.6701582153657352,0.6658237657870267,0.674451059173173
36_E-G,31.0,0.6671341543585919,0.6627899659805842,0.6714371377591222
36_E-G,32.0,0.6645483630626287,0.6601960064133957,0.6688598576293112
36_E-G,33.0,0.662751457246789,0.6583935102452101,0.667068780550937
36_E-G,34.0,0.6611517728009809,0.6567889080312307,0.6654742261650386
36_E-G,35.0,0.6602971468641797,0.655931677503186,0.6646223182630512
36_E-G,36.0,0.6596178288118499,0.6552503003914002,0.663945149456935
60_A,0.0,1.0,1.0,1.0
60_A,1.0,0.9985691573926866,0.9972518578769245,0.9992552558309765
60_A,2.0,0.9965023847376784,0.99469293334421,0.997695615747882
60_A,3.0,0.9945945945945943,0.992443188301194,0.9961346933131188
60_A,4.0,0.9922098569157395,0.9897056707015927,0.9941066917200891
60_A,5.0,0.9901430842607318,0.9873748257304122,0.9923067261829809
60_A,6.0,0.9868044515103332,0.9836631243442389,0.989345024069017
60_A,7.0,0.982670906200318,0.979129837762334,0.985615575466352
60_A,8.0,0.9793322734499206,0.9755036136074404,0.9825678887014444
60_A,9.0,0.9771065182829894,0.9730996245897597,0.9805225573602635
60_A,10.0,0.9742448330683618,0.9700218980162844,0.9778796927450797
60_A,11.0,0.9707472178060421,0.9662771695435974,0.9746325485679777
60_A,12.0,0.967567567567567,0.9628865463675284,0.9716668979624324
60_A,13.0,0.9647058823529421,0.9598445652338882,0.9689882175481763
60_A,14.0,0.9618441971383156,0.9568105782531117,0.9663015321914894
60_A,15.0,0.9578696343402229,0.9526084087148243,0.9625583100493506
60_A,16.0,0.954054054054055,0.9485856143467193,0.9589535174974846
60_A,17.0,0.9516693163751981,0.9460763909523273,0.9566954949572261
60_A,18.0,0.9480127186009545,0.9422357107353787,0.9532263933338043
60_A,19.0,0.9451510333863286,0.9392352395231311,0.9505061625323595
60_A,20.0,0.9422893481717007,0.9362390336210881,0.947781664232092
60_A,21.0,0.9399046104928459,0.9337452401868797,0.9455082028146025
60_A,22.0,0.936248012718601,0.9299264348793066,0.9420172154766145
60_A,23.0,0.9337042925278228,0.9272732290579329,0.939585347107398
60_A,24.0,0.9310015898251203,0.9244570269759809,0.9369986571494215
60_A,25.0,0.9281399046104926,0.9214781720359017,0.9342568022662264
60_A,26.0,0.925119236883943,0.9183369966376621,0.9313594501516158
60_A,27.0,0.9228934817170119,0.9160244271376113,0.9292225781185809
60_A,28.0,0.9193958664546906,0.9123936112215316,0.9258614142945801
60_A,29.0,0.9170111287758353,0.9099202093308235,0.9235675572349246
60_A,30.0,0.9133545310015894,0.9061308775278305,0.9200470920761992
