segment,month,count,w_t
60_D,19,776,0.02854200382521701
60_D,20,743,0.027328233043989996
60_D,21,721,0.026519052523171986
60_D,22,655,0.024091510960717964
60_D,23,715,0.026298366926585257
60_D,24,663,0.024385758422833602
60_D,25,588,0.021627188465499485
60_D,26,578,0.021259379137854938
60_D,27,510,0.018758275709872003
60_D,28,469,0.01725025746652935
60_D,29,402,0.014785934971310873
60_D,30,397,0.014602030307488597
60_D,31,370,0.013608945122848316
60_D,32,360,0.013241135795203767
60_D,33,360,0.013241135795203767
60_D,34,305,0.011218184493158747
60_D,35,313,0.011512431955274386
60_D,36,255,0.009379137854936001
60_D,37,231,0.008496395468589083
60_D,38,213,0.007834338678828896
60_D,39,243,0.008937766661762542
60_D,40,202,0.0074297484184198915
60_D,41,173,0.0063631013682506985
60_D,42,148,0.005443578049139326
60_D,43,141,0.0051861115197881415
60_D,44,123,0.0045240547300279535
60_D,45,101,0.0037148742092099458
60_D,46,103,0.0037884360747388554
60_D,47,93,0.0034206267470943065
60_D,48,80,0.0029424746211563924
60_D,49,70,0.0025746652935118436
60_D,50,58,0.0021332941003383847
60_D,51,50,0.0018390466382227453
60_D,52,38,0.0013976754450492864
60_D,53,29,0.0010666470501691924
60_D,54,36,0.0013241135795203766
60_D,55,18,0.0006620567897601883
60_D,56,18,0.0006620567897601883
60_D,57,22,0.0008091805208180079
60_D,58,16,0.0005884949242312785
60_D,59,18,0.0006620567897601883
60_D,60,17,0.0006252758569957334
60_E-G,1,465,0.011661149563647307
60_E-G,2,734,0.018407061891864782
60_E-G,3,1065,0.026707794161901895
60_E-G,4,1495,0.03749122279065102
60_E-G,5,1553,0.038945731768482296
60_E-G,6,1713,0.042958170328016854
60_E-G,7,1724,0.043234025478984854
60_E-G,8,1753,0.043961279967900495
60_E-G,9,1774,0.0444879125288394
60_E-G,10,1795,0.04501454508977831
60_E-G,11,1823,0.04571672183769686
60_E-G,12,1708,0.0428327816230314
60_E-G,13,1541,0.0386447988765172
60_E-G,14,1495,0.03749122279065102
60_E-G,15,1313,0.03292707392918046
60_E-G,16,1275,0.031974119771291006
60_E-G,17,1203,0.03016852241950045
60_E-G,18,1128,0.02828769184471863
60_E-G,19,1014,0.025428829371050257
60_E-G,20,1008,0.02527836292506771
60_E-G,21,968,0.02427525328518407
60_E-G,22,951,0.023848931688233523
60_E-G,23,918,0.02302136623532952
60_E-G,24,804,0.02016250376166115
60_E-G,25,767,0.019234627344768784
60_E-G,26,708,0.017755040625940414
60_E-G,27,647,0.016225298425117867
60_E-G,28,560,0.01404353495837095
60_E-G,29,558,0.013993379476376768
60_E-G,30,527,0.013215969505466947
